,Camera,Steering,Predicted,PicUsed
0,Charrito_Log17_Pic_1.jpg,0.74,-0.16892655193805695,Charrito_Log17_Pic_1.jpg
1,Charrito_Log17_Pic_2.jpg,0.74,-0.16075623035430908,Charrito_Log17_Pic_2.jpg
2,Charrito_Log17_Pic_3.jpg,0.74,-0.11231046169996262,Charrito_Log17_Pic_3.jpg
3,Charrito_Log17_Pic_4.jpg,0.74,-0.19725459814071655,Charrito_Log17_Pic_4.jpg
4,Charrito_Log17_Pic_5.jpg,0.72,-0.20556321740150452,Charrito_Log17_Pic_5.jpg
5,Charrito_Log17_Pic_6.jpg,0.72,-0.2128734290599823,Charrito_Log17_Pic_6.jpg
6,Charrito_Log17_Pic_7.jpg,0.72,-0.23555529117584229,Charrito_Log17_Pic_7.jpg
7,Charrito_Log17_Pic_8.jpg,0.72,-0.24987776577472687,Charrito_Log17_Pic_8.jpg
8,Charrito_Log17_Pic_9.jpg,0.72,-0.26410096883773804,Charrito_Log17_Pic_9.jpg
9,Charrito_Log17_Pic_10.jpg,0.72,-0.28172948956489563,Charrito_Log17_Pic_10.jpg
10,Charrito_Log17_Pic_11.jpg,0.72,-0.28195491433143616,Charrito_Log17_Pic_11.jpg
11,Charrito_Log17_Pic_12.jpg,0.7,-0.3168902099132538,Charrito_Log17_Pic_12.jpg
12,Charrito_Log17_Pic_13.jpg,0.7,-0.3338679373264313,Charrito_Log17_Pic_13.jpg
13,Charrito_Log17_Pic_14.jpg,0.7,-0.29724088311195374,Charrito_Log17_Pic_14.jpg
14,Charrito_Log17_Pic_15.jpg,0.7,-0.18798129260540009,Charrito_Log17_Pic_15.jpg
15,Charrito_Log17_Pic_16.jpg,0.7,-0.09145059436559677,Charrito_Log17_Pic_16.jpg
16,Charrito_Log17_Pic_17.jpg,0.72,-0.06565101444721222,Charrito_Log17_Pic_17.jpg
17,Charrito_Log17_Pic_18.jpg,0.72,-0.04946087673306465,Charrito_Log17_Pic_18.jpg
18,Charrito_Log17_Pic_19.jpg,0.72,-0.02856946364045143,Charrito_Log17_Pic_19.jpg
19,Charrito_Log17_Pic_20.jpg,0.72,-0.03248957172036171,Charrito_Log17_Pic_20.jpg
20,Charrito_Log17_Pic_21.jpg,0.72,-0.05645979940891266,Charrito_Log17_Pic_21.jpg
21,Charrito_Log17_Pic_22.jpg,0.72,-0.04424191266298294,Charrito_Log17_Pic_22.jpg
22,Charrito_Log17_Pic_23.jpg,0.72,-0.055099938064813614,Charrito_Log17_Pic_23.jpg
23,Charrito_Log17_Pic_24.jpg,0.72,-0.045302651822566986,Charrito_Log17_Pic_24.jpg
24,Charrito_Log17_Pic_25.jpg,0.72,-0.03943828120827675,Charrito_Log17_Pic_25.jpg
25,Charrito_Log17_Pic_26.jpg,0.72,-0.023916728794574738,Charrito_Log17_Pic_26.jpg
26,Charrito_Log17_Pic_27.jpg,0.74,-0.03590358421206474,Charrito_Log17_Pic_27.jpg
27,Charrito_Log17_Pic_28.jpg,0.74,-0.007906240411102772,Charrito_Log17_Pic_28.jpg
28,Charrito_Log17_Pic_29.jpg,0.74,-0.03282987326383591,Charrito_Log17_Pic_29.jpg
29,Charrito_Log17_Pic_30.jpg,0.74,-0.03950021043419838,Charrito_Log17_Pic_30.jpg
30,Charrito_Log17_Pic_31.jpg,0.74,-0.08505399525165558,Charrito_Log17_Pic_31.jpg
31,Charrito_Log17_Pic_32.jpg,0.72,-0.20974190533161163,Charrito_Log17_Pic_32.jpg
32,Charrito_Log17_Pic_33.jpg,0.7,-0.1648481786251068,Charrito_Log17_Pic_33.jpg
33,Charrito_Log17_Pic_34.jpg,0.7,-0.2117132991552353,Charrito_Log17_Pic_34.jpg
34,Charrito_Log17_Pic_35.jpg,0.72,-0.13528667390346527,Charrito_Log17_Pic_35.jpg
35,Charrito_Log17_Pic_36.jpg,0.74,-0.018878910690546036,Charrito_Log17_Pic_36.jpg
36,Charrito_Log17_Pic_37.jpg,0.74,-0.001202839077450335,Charrito_Log17_Pic_37.jpg
37,Charrito_Log17_Pic_38.jpg,0.72,-0.046787746250629425,Charrito_Log17_Pic_38.jpg
38,Charrito_Log17_Pic_39.jpg,0.72,-0.04725312814116478,Charrito_Log17_Pic_39.jpg
39,Charrito_Log17_Pic_40.jpg,0.72,-0.04759405553340912,Charrito_Log17_Pic_40.jpg
40,Charrito_Log17_Pic_41.jpg,0.72,-0.025777751579880714,Charrito_Log17_Pic_41.jpg
41,Charrito_Log17_Pic_42.jpg,0.72,-0.02919188141822815,Charrito_Log17_Pic_42.jpg
42,Charrito_Log17_Pic_43.jpg,0.72,-0.026139086112380028,Charrito_Log17_Pic_43.jpg
43,Charrito_Log17_Pic_44.jpg,0.72,0.0010650563053786755,Charrito_Log17_Pic_44.jpg
44,Charrito_Log17_Pic_45.jpg,0.74,0.032049525529146194,Charrito_Log17_Pic_45.jpg
